date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:39	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:43:39%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=about	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index.01a8f.delayed	(from )
19:43:40	13633/13633	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:43:39%20GMT	http://web.archive.org/web/20071123172245/http://osu.ppy.sh/index.php?p=about	C:/osu!web/osu2007web/web.archive.org/web/20071123172245/http_/osu.ppy.sh/index1a8f.html	(from )
19:43:40	19383/19383	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:43:39%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index.html	(from )
19:43:41	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:43:40%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=changelog	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index.2d1d9.delayed	(from )
19:43:49	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:43:48%20GMT	http://web.archive.org/web/20071125184645/http://osu.ppy.sh/index.php?p=changelog	C:/osu!web/osu2007web/web.archive.org/web/20071125184645/http_/osu.ppy.sh/indexd1d9.php	(from )
19:43:50	16368/16368	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:43:49%20GMT	http://web.archive.org/web/20071226092136/http://osu.ppy.sh/index.php?p=changelog	C:/osu!web/osu2007web/web.archive.org/web/20071226092136/http_/osu.ppy.sh/indexd1d9.html	(from )
19:43:51	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:43:50%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=download	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/indexacaf.php	(from )
19:43:52	13625/13625	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:43:51%20GMT	http://web.archive.org/web/20071128080345/http://osu.ppy.sh/index.php?p=download	C:/osu!web/osu2007web/web.archive.org/web/20071128080345/http_/osu.ppy.sh/indexacaf.html	(from )
19:43:52	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2003%20Feb%202017%2018:43:51%20GMT	http://web.archive.org/web/20071127023324/http://osu.ppy.sh/index.php?p=faq	C:/osu!web/osu2007web/web.archive.org/web/20071127023324/http_/osu.ppy.sh/index1532.php	(from )
19:43:53	18747/18747	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Feb%202017%2018:43:53%20GMT	http://web.archive.org/web/20071122213806/http://osu.ppy.sh/index.php?p=faq	C:/osu!web/osu2007web/web.archive.org/web/20071122213806/http_/osu.ppy.sh/index1532.html	(from )
