date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:35	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Feb%202017%2010:15:35%20GMT	http://web.archive.org/web/20101116022053/http://osu.ppy.sh/p/about	C:/osu!web/osu!2010/web.archive.org/web/20101116022053/http_/osu.ppy.sh/p/about.0.delayed	(from )
11:15:36	21283/21283	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202017%2010:15:35%20GMT	http://web.archive.org/web/20101116022053/http://osu.ppy.sh/	C:/osu!web/osu!2010/web.archive.org/web/20101116022053/http_/osu.ppy.sh/index.html	(from )
11:15:37	19295/19295	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202017%2010:15:36%20GMT	http://web.archive.org/web/20110616165443/http://osu.ppy.sh/p/about	C:/osu!web/osu!2010/web.archive.org/web/20110616165443/http_/osu.ppy.sh/p/about.html	(from )
11:15:37	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Feb%202017%2010:15:37%20GMT	http://web.archive.org/web/20101116022053/http://osu.ppy.sh/p/download	C:/osu!web/osu!2010/web.archive.org/web/20101116022053/http_/osu.ppy.sh/p/download	(from )
11:15:38	19849/19849	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202017%2010:15:38%20GMT	http://web.archive.org/web/20110105094135/http://osu.ppy.sh//p//download	C:/osu!web/osu!2010/web.archive.org/web/20110105094135/http_/osu.ppy.sh/p/download.html	(from )
11:15:39	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Feb%202017%2010:15:38%20GMT	http://web.archive.org/web/20101116022053/http://osu.ppy.sh/p/faq	C:/osu!web/osu!2010/web.archive.org/web/20101116022053/http_/osu.ppy.sh/p/faq	(from )
11:15:39	19192/19192	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202017%2010:15:39%20GMT	http://web.archive.org/web/20101101231208/http://osu.ppy.sh/p/faq?	C:/osu!web/osu!2010/web.archive.org/web/20101101231208/http_/osu.ppy.sh/p/faqd41d.html	(from )
11:15:40	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Feb%202017%2010:15:40%20GMT	http://web.archive.org/web/20101116022053/http://osu.ppy.sh/p/beatmaplist	C:/osu!web/osu!2010/web.archive.org/web/20101116022053/http_/osu.ppy.sh/p/beatmaplist	(from )
11:15:42	56847/56847	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202017%2010:15:41%20GMT	http://web.archive.org/web/20101113020143/http://osu.ppy.sh/p/beatmaplist	C:/osu!web/osu!2010/web.archive.org/web/20101113020143/http_/osu.ppy.sh/p/beatmaplist.html	(from )
11:15:43	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Feb%202017%2010:15:43%20GMT	http://web.archive.org/web/20101116022053/http://osu.ppy.sh/p/playerranking	C:/osu!web/osu!2010/web.archive.org/web/20101116022053/http_/osu.ppy.sh/p/playerranking	(from )
11:15:44	49167/49167	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Feb%202017%2010:15:43%20GMT	http://web.archive.org/web/20100914182406/http://osu.ppy.sh/p/playerranking?	C:/osu!web/osu!2010/web.archive.org/web/20100914182406/http_/osu.ppy.sh/p/playerrankingd41d.html	(from )
11:15:44	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Feb%202017%2010:15:44%20GMT	http://web.archive.org/web/20101116022053/http://osu.ppy.sh/forum/	C:/osu!web/osu!2010/web.archive.org/web/20101116022053/http_/osu.ppy.sh/forum/index.html	(from )
11:15:44	101/101	---M--	200	added ('OK')	text/plain	etag:W/%22101-1449087168000%22	http://web.archive.org/robots.txt		(from )
